#,School Name,Year,Weighted salary,Salary percentage increase,Value for money rank,Career progress rank,Career service rank,Aims achieved (%),Employed at three months (main),Employed at three months (additional),Effective Emp rate,Female faculty (%),Female students (%),Women on board (%),International faculty (%),International students (%),International board (%),International work mobility rank,International course experience rank,Faculty with doctorates (%),Three year average,1 yr less rank,2 yr less rank,Internship,Overall Satisfaction,Location,No. of Students per Staff,Diversity,GMAT/GRE Required,Female Empowerment Score
1,University of St Gallen,2022,"138,091",62.25,15,69,1,95.573,97,100,97,24,53,33,83,93,53,3,9,100,1,1,1,100,9.76,Switzerland,12.1,76.33333333,1,37.4
1,University of St Gallen,2021,"123,999",59.63,15,83,1,93.692,92,97,89.24,20,47,31,82,93,56,3,6,100,1,1,1,100,9.82,Switzerland,12,77,1,33
1,University of St Gallen,2020,"113,175",52,16,84,1,94,94,100,94,20,50,33,79,96,56,10,7,100,1,1,1,98,9.98,Switzerland,11.8,77,1,34.6
2,HEC Paris,2022,"118,999",76.62,44,52,16,91.102,99,93,92.07,30,45,42,64,56,83,11,14,96,2,2,2,85,9.09,France,,67.66666667,1,38.4
2,HEC Paris,2021,"114,357",80.648,41,61,11,91.177,98,93,91.14,29,44,42,65,55,83,11,10,96,2,2,2,81,9.21,France,,67.66666667,1,37.6
2,HEC Paris,2020,"107,050",79,36,52,9,91,99,91,90.09,22,44,42,72,54,83,5,10,100,2,2,2,80,9.38,France,,69.66666667,1,34.8
3,"Rotterdam School of Management, Erasmus University",2022,"101,961",60.51,23,31,32,87.263,97,95,92.15,30,50,35,56,59,12,1,28,96,4,5,5,97,9.18,Netherlands,29.3,42.33333333,1,39
3,University College Dublin: Smurfit,2021,"94,517",81.136,33,16,8,89.926,86,93,79.98,31,50,29,39,98,58,1,29,99,6,8,7,100,9.68,Ireland,23.2,65,2,38.2
3,Essec Business School,2020,"102,086",74,49,41,13,89,93,57,53.01,37,51,57,58,36,79,29,13,100,3,3,4,100,9.37,France,,57.66666667,1,46.6
4,Stockholm School of Economics,2022,"92,235",56.22,20,33,8,86.973,87,100,87,34,47,43,48,78,43,4,8,96,6,8,7,100,9.36,Sweden,19.6,56.33333333,1,41
4,London Business School,2021,"100,789",61.125,67,44,7,90.362,96,100,96,30,43,43,84,96,78,7,78,99,4,4,3,36,9.43,UK,15,86,1,37.8
